开奖时间	期号	佰	拾	个	开奖号码	总和	大小	单双	龙虎和	番	番数值
============================================================================================================================================
2025-12-12 00:03:00	3370644	7	7	7	7,7,7	21	大	单	和	1番	1
2025-12-12 00:06:30	3370645	0	5	5	0,5,5	10	小	双	虎	2番	2
2025-12-12 00:10:00	3370646	1	4	7	1,4,7	12	小	双	虎	4番	4
2025-12-12 00:13:30	3370647	1	5	2	1,5,2	8	小	双	虎	4番	4
2025-12-12 00:17:00	3370648	1	1	2	1,1,2	4	小	双	虎	4番	4
2025-12-12 00:20:30	3370649	7	0	6	7,0,6	13	小	单	龙	1番	1
2025-12-12 00:24:00	3370650	3	9	1	3,9,1	13	小	单	龙	1番	1
2025-12-12 00:27:30	3370651	0	9	2	0,9,2	11	小	单	虎	3番	3
2025-12-12 00:31:00	3370652	1	3	2	1,3,2	6	小	双	虎	2番	2
2025-12-12 00:34:30	3370653	8	3	0	8,3,0	11	小	单	龙	3番	3
2025-12-12 00:38:00	3370654	5	3	9	5,3,9	17	大	单	虎	1番	1
2025-12-12 00:41:30	3370655	7	6	9	7,6,9	22	大	双	虎	2番	2
2025-12-12 00:45:00	3370656	5	6	6	5,6,6	17	大	单	虎	1番	1
2025-12-12 00:48:30	3370657	9	5	0	9,5,0	14	大	双	龙	2番	2
2025-12-12 00:52:00	3370658	1	7	5	1,7,5	13	小	单	虎	1番	1
2025-12-12 00:55:30	3370659	1	1	2	1,1,2	4	小	双	虎	4番	4
2025-12-12 00:59:00	3370660	4	4	0	4,4,0	8	小	双	龙	4番	4
2025-12-12 01:02:30	3370661	6	4	7	6,4,7	17	大	单	虎	1番	1
2025-12-12 01:06:00	3370662	0	3	5	0,3,5	8	小	双	虎	4番	4
2025-12-12 01:09:30	3370663	6	6	6	6,6,6	18	大	双	和	2番	2
2025-12-12 01:13:00	3370664	4	2	1	4,2,1	7	小	单	龙	3番	3
2025-12-12 01:16:30	3370665	0	0	4	0,0,4	4	小	双	虎	4番	4
2025-12-12 01:20:00	3370666	6	3	9	6,3,9	18	大	双	虎	2番	2
2025-12-12 01:23:30	3370667	7	4	0	7,4,0	11	小	单	龙	3番	3
2025-12-12 01:27:00	3370668	1	9	1	1,9,1	11	小	单	和	3番	3
2025-12-12 01:30:30	3370669	9	7	3	9,7,3	19	大	单	龙	3番	3
2025-12-12 01:34:00	3370670	1	4	7	1,4,7	12	小	双	虎	4番	4
2025-12-12 01:37:30	3370671	4	9	8	4,9,8	21	大	单	虎	1番	1
2025-12-12 01:41:00	3370672	8	0	6	8,0,6	14	大	双	龙	2番	2
2025-12-12 01:44:30	3370673	4	6	5	4,6,5	15	大	单	虎	3番	3
2025-12-12 01:48:00	3370674	3	4	1	3,4,1	8	小	双	龙	4番	4
2025-12-12 01:51:30	3370675	5	0	6	5,0,6	11	小	单	虎	3番	3
2025-12-12 01:55:00	3370676	7	2	3	7,2,3	12	小	双	龙	4番	4
2025-12-12 01:58:30	3370677	5	0	1	5,0,1	6	小	双	龙	2番	2
2025-12-12 02:02:00	3370678	9	7	7	9,7,7	23	大	单	龙	3番	3
2025-12-12 02:05:30	3370679	6	7	0	6,7,0	13	小	单	龙	1番	1
2025-12-12 02:09:00	3370680	8	2	1	8,2,1	11	小	单	龙	3番	3
2025-12-12 02:12:30	3370681	4	0	6	4,0,6	10	小	双	虎	2番	2
2025-12-12 02:16:00	3370682	2	9	6	2,9,6	17	大	单	虎	1番	1
2025-12-12 02:19:30	3370683	6	1	0	6,1,0	7	小	单	龙	3番	3
2025-12-12 02:23:00	3370684	6	5	9	6,5,9	20	大	双	虎	4番	4
