开奖时间	期号	佰	拾	个	开奖号码	总和	大小	单双	龙虎和	番	番数值
============================================================================================================================================
2025-11-22 00:03:00	3362604	7	1	2	712	10	小	双			
2025-11-22 00:06:30	3362605	9	4	1	941	14	大	双			
2025-11-22 00:10:00	3362606	8	8	9	889	25	大	单			
2025-11-22 00:13:30	3362607	1	6	0	160	7	小	单			
2025-11-22 00:17:00	3362608	2	6	2	262	10	小	双			
2025-11-22 00:20:30	3362609	0	9	1	091	10	小	双			
2025-11-22 00:24:00	3362610	3	6	7	367	16	大	双			
2025-11-22 00:27:30	3362611	1	5	4	154	10	小	双			
2025-11-22 00:31:00	3362612	5	7	7	577	19	大	单			
2025-11-22 00:34:30	3362613	9	2	1	921	12	小	双			
2025-11-22 00:38:00	3362614	4	9	7	497	20	大	双			
2025-11-22 00:41:30	3362615	8	1	4	814	13	小	单			
2025-11-22 00:45:00	3362616	3	6	5	365	14	大	双			
2025-11-22 00:48:30	3362617	4	0	8	408	12	小	双			
2025-11-22 00:52:00	3362618	1	7	2	172	10	小	双			
2025-11-22 00:55:30	3362619	0	4	9	049	13	小	单			
2025-11-22 00:59:00	3362620	7	5	0	750	12	小	双			
2025-11-22 01:02:30	3362621	7	1	8	718	16	大	双			
2025-11-22 01:06:00	3362622	3	7	1	371	11	小	单			
2025-11-22 01:09:30	3362623	4	7	1	471	12	小	双			
2025-11-22 01:13:00	3362624	8	9	6	896	23	大	单			
2025-11-22 01:16:30	3362625	4	8	9	489	21	大	单			
2025-11-22 01:20:00	3362626	9	5	7	957	21	大	单			
2025-11-22 01:23:30	3362627	1	4	6	146	11	小	单			
2025-11-22 01:27:00	3362628	3	1	4	314	8	小	双			
2025-11-22 01:30:30	3362629	6	3	9	639	18	大	双			
2025-11-22 01:34:00	3362630	3	0	7	307	10	小	双			
2025-11-22 01:37:30	3362631	9	9	8	998	26	大	双			
2025-11-22 01:41:00	3362632	0	8	0	080	8	小	双			
2025-11-22 01:44:30	3362633	9	7	6	976	22	大	双			
2025-11-22 01:48:00	3362634	8	8	7	887	23	大	单			
2025-11-22 01:51:30	3362635	7	6	9	769	22	大	双			
2025-11-22 01:55:00	3362636	5	6	3	563	14	大	双			
2025-11-22 01:58:30	3362637	4	6	5	465	15	大	单			
2025-11-22 02:02:00	3362638	3	0	9	309	12	小	双			
2025-11-22 02:05:30	3362639	1	0	2	102	3	小	单			
2025-11-22 02:09:00	3362640	1	8	5	185	14	大	双			
2025-11-22 02:12:30	3362641	4	0	4	404	8	小	双			
2025-11-22 02:16:00	3362642	7	4	1	741	12	小	双			
2025-11-22 02:19:30	3362643	0	9	6	096	15	大	单			
2025-11-22 02:23:00	3362644	2	8	7	287	17	大	单			
2025-11-22 02:26:30	3362645	3	3	7	337	13	小	单			
2025-11-22 02:30:00	3362646	9	6	4	964	19	大	单			
2025-11-22 02:33:30	3362647	3	5	9	359	17	大	单			
2025-11-22 02:37:00	3362648	6	6	2	662	14	大	双			
2025-11-22 02:40:30	3362649	5	5	7	557	17	大	单			
2025-11-22 02:44:00	3362650	6	5	4	654	15	大	单			
2025-11-22 02:47:30	3362651	2	1	1	211	4	小	双			
2025-11-22 02:51:00	3362652	7	7	0	770	14	大	双			
2025-11-22 02:54:30	3362653	8	8	7	887	23	大	单			
2025-11-22 02:58:00	3362654	9	3	7	937	19	大	单			
2025-11-22 03:01:30	3362655	6	1	4	614	11	小	单			
2025-11-22 03:05:00	3362656	9	9	1	991	19	大	单			
2025-11-22 03:08:30	3362657	8	9	6	896	23	大	单			
2025-11-22 03:12:00	3362658	1	1	5	115	7	小	单			
2025-11-22 03:15:30	3362659	6	4	8	648	18	大	双			
2025-11-22 03:19:00	3362660	9	5	8	958	22	大	双			
2025-11-22 03:22:30	3362661	8	3	6	836	17	大	单			
2025-11-22 03:26:00	3362662	5	5	7	557	17	大	单			
2025-11-22 03:29:30	3362663	2	7	3	273	12	小	双			
2025-11-22 03:33:00	3362664	2	9	7	297	18	大	双			
2025-11-22 03:36:30	3362665	6	3	4	634	13	小	单			
2025-11-22 03:40:00	3362666	3	5	4	354	12	小	双			
2025-11-22 03:43:30	3362667	6	1	9	619	16	大	双			
2025-11-22 03:47:00	3362668	2	4	1	241	7	小	单			
2025-11-22 03:50:30	3362669	3	0	0	300	3	小	单			
2025-11-22 03:54:00	3362670	2	6	3	263	11	小	单			
2025-11-22 03:57:30	3362671	2	3	3	233	8	小	双			
2025-11-22 04:01:00	3362672	5	0	2	502	7	小	单			
2025-11-22 04:04:30	3362673	5	3	9	539	17	大	单			
2025-11-22 04:08:00	3362674	3	5	0	350	8	小	双			
2025-11-22 04:11:30	3362675	2	8	6	286	16	大	双			
2025-11-22 04:15:00	3362676	3	9	9	399	21	大	单			
2025-11-22 04:18:30	3362677	3	6	2	362	11	小	单			
2025-11-22 04:22:00	3362678	1	0	7	107	8	小	双			
2025-11-22 04:25:30	3362679	5	7	5	575	17	大	单			
2025-11-22 04:29:00	3362680	4	5	5	455	14	大	双			
2025-11-22 04:32:30	3362681	6	5	8	658	19	大	单			
2025-11-22 04:36:00	3362682	7	0	3	703	10	小	双			
2025-11-22 04:39:30	3362683	8	1	7	817	16	大	双			
2025-11-22 04:43:00	3362684	5	1	6	516	12	小	双			
2025-11-22 04:46:30	3362685	0	8	3	083	11	小	单			
2025-11-22 04:50:00	3362686	4	7	3	473	14	大	双			
2025-11-22 04:53:30	3362687	5	5	9	559	19	大	单			
2025-11-22 04:57:00	3362688	8	9	4	894	21	大	单			
2025-11-22 05:00:30	3362689	3	0	7	307	10	小	双			
2025-11-22 05:04:00	3362690	6	5	8	658	19	大	单			
2025-11-22 05:07:30	3362691	5	1	6	516	12	小	双			
2025-11-22 05:11:00	3362692	5	2	6	526	13	小	单			
2025-11-22 05:14:30	3362693	2	9	4	294	15	大	单			
2025-11-22 05:18:00	3362694	4	1	3	413	8	小	双			
