# 热门组合导出 (Top 875)
# 基于历史 12657 期数据统计
------------------------------
263, 986, 337, 541, 426, 765, 100, 905, 507, 345, 297, 080, 338, 777, 160, 952, 735, 602, 119, 595, 956, 098, 704, 359, 509, 503, 680, 574, 374, 915, 104, 869, 854, 495, 354, 715, 136, 195, 580, 590, 504, 193, 823, 944, 229, 129, 248, 848, 023, 737, 343, 793, 154, 172, 809, 640, 472, 204, 305, 063, 134, 116, 284, 300, 213, 813, 690, 610, 415, 615, 999, 530, 418, 829, 350, 331, 771, 914, 252, 225, 866, 654, 376, 402, 163, 635, 393, 381, 413, 629, 628, 518, 859, 228, 877, 926, 626, 274, 778, 214, 435, 500, 588, 738, 769, 755, 649, 955, 425, 222, 515, 932, 700, 026, 702, 644, 342, 638, 469, 883, 360, 099, 971, 892, 188, 364, 257, 994, 801, 554, 291, 589, 663, 448, 925, 783, 118, 497, 951, 948, 007, 706, 539, 191, 977, 296, 659, 739, 396, 444, 894, 483, 604, 633, 176, 295, 244, 974, 042, 773, 582, 473, 336, 057, 480, 537, 045, 177, 368, 208, 159, 120, 249, 122, 455, 366, 484, 310, 049, 832, 447, 708, 030, 752, 730, 039, 889, 605, 575, 377, 753, 441, 339, 731, 390, 636, 585, 672, 105, 679, 830, 341, 452, 578, 513, 140, 693, 246, 980, 849, 164, 661, 424, 069, 094, 403, 259, 025, 547, 375, 065, 982, 052, 887, 432, 844, 852, 419, 320, 278, 904, 013, 329, 101, 523, 683, 319, 776, 674, 689, 997, 550, 302, 040, 824, 200, 749, 568, 667, 586, 460, 655, 959, 625, 155, 395, 985, 792, 911, 067, 650, 059, 235, 370, 239, 686, 551, 919, 747, 079, 221, 724, 682, 073, 716, 692, 220, 811, 745, 256, 147, 132, 666, 639, 723, 501, 406, 571, 181, 283, 941, 834, 803, 664, 150, 882, 281, 825, 937, 802, 014, 942, 563, 237, 071, 062, 861, 794, 594, 113, 865, 270, 657, 540, 665, 772, 521, 930, 519, 760, 001, 324, 090, 804, 422, 808, 954, 606, 791, 146, 110, 721, 561, 466, 786, 592, 117, 437, 091, 511, 675, 648, 970, 936, 719, 491, 853, 029, 493, 766, 261, 294, 990, 583, 219, 230, 171, 961, 143, 190, 166, 789, 431, 242, 969, 587, 245, 161, 137, 622, 016, 165, 097, 109, 847, 201, 938, 940, 211, 601, 527, 005, 407, 127, 250, 088, 627, 698, 641, 092, 421, 973, 241, 433, 695, 162, 542, 913, 232, 011, 203, 070, 409, 807, 957, 043, 699, 202, 820, 423, 711, 727, 479, 819, 858, 207, 857, 637, 988, 361, 906, 148, 975, 468, 934, 744, 145, 768, 382, 048, 304, 593, 840, 372, 170, 872, 095, 603, 383, 179, 332, 873, 471, 384, 103, 173, 271, 022, 856, 947, 276, 785, 151, 880, 085, 767, 258, 611, 569, 187, 884, 454, 130, 436, 074, 075, 141, 430, 525, 734, 863, 082, 185, 646, 084, 908, 323, 927, 036, 106, 993, 817, 047, 928, 978, 671, 782, 033, 710, 286, 133, 086, 306, 835, 265, 632, 591, 055, 112, 035, 740, 806, 481, 827, 243, 410, 015, 223, 565, 976, 289, 867, 643, 280, 451, 756, 822, 313, 684, 534, 549, 668, 108, 996, 199, 197, 397, 205, 759, 681, 552, 149, 478, 795, 746, 922, 544, 909, 560, 400, 617, 851, 196, 870, 896, 558, 709, 398, 459, 918, 920, 114, 458, 168, 983, 474, 736, 434, 158, 878, 555, 893, 034, 485, 443, 021, 031, 891, 886, 318, 308, 352, 779, 912, 567, 761, 958, 839, 718, 516, 182, 998, 358, 514, 916, 355, 363, 008, 556, 490, 411, 871, 404, 273, 758, 227, 600, 379, 964, 316, 543, 487, 903, 616, 962, 351, 510, 728, 572, 439, 440, 004, 498, 619, 475, 135, 895, 346, 726, 924, 277, 991, 464, 298, 788, 751, 290, 596, 651, 333, 855, 981, 335, 064, 662, 618, 570, 522, 373, 564, 267, 470, 399, 623, 457, 748, 810, 124, 477, 353, 357, 387, 685, 517, 688, 750, 006, 139, 492, 559, 630, 608, 798, 910, 131, 002, 482, 828, 327, 054, 713, 845, 862, 445, 562, 066, 599, 266, 780, 414, 309, 818, 770, 255, 018, 526, 545, 038, 757, 385, 292, 041, 236, 369, 028, 607, 461, 816, 279, 462, 212, 888, 347, 673, 078, 254, 077, 923, 899, 253, 837, 269, 995, 010, 875, 714, 621, 107, 408, 697, 192, 068, 334, 247, 796, 531, 389, 096, 584, 598, 311, 456, 826, 282, 536, 524, 115, 653, 167, 450, 000, 326, 741, 186, 781, 268, 579, 476, 386, 902, 841, 128, 087, 831, 180, 416, 717, 348, 053, 634, 226, 732, 050, 850, 251, 051, 676, 153, 799, 612, 260, 442, 012, 371, 874, 660, 489, 405, 344, 144, 502, 417, 885, 929, 288, 833, 240, 060, 652, 234, 438, 076, 032, 275, 548, 881, 378, 953, 754, 546, 216, 949, 392, 814, 960, 427, 729, 950, 647, 670, 609, 121, 614, 943, 301, 879, 328, 024, 576, 003, 312, 401, 317, 967, 843, 499, 868, 573, 677, 321, 449, 815, 486, 529, 446, 797, 453, 488, 102, 083, 009, 763, 194, 174, 412, 126, 787, 233, 218, 703, 285, 687, 189, 224, 658, 494, 838, 907, 945, 262, 764, 496, 624, 921, 017, 722, 864, 972, 694, 058, 979, 020, 642, 142, 037

------------------------------
号码	出现的次数
263	26
986	24
337	24
541	24
426	24
765	23
100	23
905	23
507	22
345	22
297	22
080	22
338	22
777	21
160	21
952	21
735	21
602	21
119	21
595	21
956	21
098	21
704	21
359	20
509	20
503	20
680	20
574	20
374	20
915	20
104	20
869	20
854	20
495	20
354	20
715	20
136	20
195	19
580	19
590	19
504	19
193	19
823	19
944	19
229	19
129	19
248	19
848	19
023	19
737	19
343	19
793	19
154	19
172	19
809	19
640	19
472	19
204	19
305	19
063	19
134	19
116	19
284	19
300	19
213	19
813	19
690	19
610	18
415	18
615	18
999	18
530	18
418	18
829	18
350	18
331	18
771	18
914	18
252	18
225	18
866	18
654	18
376	18
402	18
163	18
635	18
393	18
381	18
413	18
629	18
628	18
518	18
859	18
228	18
877	18
926	18
626	18
274	18
778	18
214	18
435	18
500	18
588	18
738	18
769	17
755	17
649	17
955	17
425	17
222	17
515	17
932	17
700	17
026	17
702	17
644	17
342	17
638	17
469	17
883	17
360	17
099	17
971	17
892	17
188	17
364	17
257	17
994	17
801	17
554	17
291	17
589	17
663	17
448	17
925	17
783	17
118	17
497	17
951	17
948	17
007	17
706	16
539	16
191	16
977	16
296	16
659	16
739	16
396	16
444	16
894	16
483	16
604	16
633	16
176	16
295	16
244	16
974	16
042	16
773	16
582	16
473	16
336	16
057	16
480	16
537	16
045	16
177	16
368	16
208	16
159	16
120	16
249	16
122	16
455	16
366	16
484	16
310	16
049	16
832	16
447	16
708	16
030	16
752	16
730	16
039	16
889	16
605	16
575	16
377	16
753	16
441	16
339	16
731	16
390	16
636	16
585	16
672	16
105	16
679	16
830	15
341	15
452	15
578	15
513	15
140	15
693	15
246	15
980	15
849	15
164	15
661	15
424	15
069	15
094	15
403	15
259	15
025	15
547	15
375	15
065	15
982	15
052	15
887	15
432	15
844	15
852	15
419	15
320	15
278	15
904	15
013	15
329	15
101	15
523	15
683	15
319	15
776	15
674	15
689	15
997	15
550	15
302	15
040	15
824	15
200	15
749	15
568	15
667	15
586	15
460	15
655	15
959	15
625	15
155	15
395	15
985	15
792	15
911	15
067	15
650	15
059	15
235	15
370	15
239	15
686	15
551	15
919	15
747	15
079	15
221	15
724	15
682	15
073	15
716	15
692	15
220	15
811	15
745	15
256	15
147	14
132	14
666	14
639	14
723	14
501	14
406	14
571	14
181	14
283	14
941	14
834	14
803	14
664	14
150	14
882	14
281	14
825	14
937	14
802	14
014	14
942	14
563	14
237	14
071	14
062	14
861	14
794	14
594	14
113	14
865	14
270	14
657	14
540	14
665	14
772	14
521	14
930	14
519	14
760	14
001	14
324	14
090	14
804	14
422	14
808	14
954	14
606	14
791	14
146	14
110	14
721	14
561	14
466	14
786	14
592	14
117	14
437	14
091	14
511	14
675	14
648	14
970	14
936	14
719	14
491	14
853	14
029	14
493	14
766	14
261	14
294	14
990	14
583	14
219	14
230	14
171	14
961	14
143	14
190	14
166	14
789	14
431	14
242	14
969	14
587	14
245	14
161	14
137	14
622	14
016	14
165	14
097	14
109	14
847	14
201	14
938	14
940	14
211	14
601	14
527	14
005	14
407	14
127	14
250	14
088	14
627	14
698	14
641	14
092	13
421	13
973	13
241	13
433	13
695	13
162	13
542	13
913	13
232	13
011	13
203	13
070	13
409	13
807	13
957	13
043	13
699	13
202	13
820	13
423	13
711	13
727	13
479	13
819	13
858	13
207	13
857	13
637	13
988	13
361	13
906	13
148	13
975	13
468	13
934	13
744	13
145	13
768	13
382	13
048	13
304	13
593	13
840	13
372	13
170	13
872	13
095	13
603	13
383	13
179	13
332	13
873	13
471	13
384	13
103	13
173	13
271	13
022	13
856	13
947	13
276	13
785	13
151	13
880	13
085	13
767	13
258	13
611	13
569	13
187	13
884	13
454	13
130	13
436	13
074	13
075	13
141	13
430	13
525	13
734	13
863	13
082	13
185	13
646	13
084	13
908	13
323	13
927	13
036	13
106	13
993	13
817	13
047	13
928	13
978	13
671	13
782	13
033	13
710	13
286	13
133	13
086	13
306	13
835	13
265	13
632	13
591	13
055	12
112	12
035	12
740	12
806	12
481	12
827	12
243	12
410	12
015	12
223	12
565	12
976	12
289	12
867	12
643	12
280	12
451	12
756	12
822	12
313	12
684	12
534	12
549	12
668	12
108	12
996	12
199	12
197	12
397	12
205	12
759	12
681	12
552	12
149	12
478	12
795	12
746	12
922	12
544	12
909	12
560	12
400	12
617	12
851	12
196	12
870	12
896	12
558	12
709	12
398	12
459	12
918	12
920	12
114	12
458	12
168	12
983	12
474	12
736	12
434	12
158	12
878	12
555	12
893	12
034	12
485	12
443	12
021	12
031	12
891	12
886	12
318	12
308	12
352	12
779	12
912	12
567	12
761	12
958	12
839	12
718	12
516	12
182	12
998	12
358	12
514	12
916	12
355	12
363	12
008	12
556	12
490	12
411	12
871	12
404	12
273	12
758	12
227	12
600	12
379	12
964	12
316	12
543	12
487	12
903	12
616	12
962	12
351	12
510	12
728	12
572	12
439	12
440	11
004	11
498	11
619	11
475	11
135	11
895	11
346	11
726	11
924	11
277	11
991	11
464	11
298	11
788	11
751	11
290	11
596	11
651	11
333	11
855	11
981	11
335	11
064	11
662	11
618	11
570	11
522	11
373	11
564	11
267	11
470	11
399	11
623	11
457	11
748	11
810	11
124	11
477	11
353	11
357	11
387	11
685	11
517	11
688	11
750	11
006	11
139	11
492	11
559	11
630	11
608	11
798	11
910	11
131	11
002	11
482	11
828	11
327	11
